Identifier,Class Name,Name,Reference,Description
HM00001,pathology,storage lesion,pmid:29956069,The so-called storage lesion was described to be associated with immune-modulation
HM00002,biological process,Rh incompatibility,pmid:29956069,"Extravascular hemolysis, however, results from Rh incompatibility of red blood cells"
HM00003,pathology,endothelial lesions,pmid:29956069,Damage to the endothelium (endothelial lesions) might be the primary cause of hemolysis
HM00004,cellular component,schistocytes,pmid:29956069,"During DIC, fibrin strands within the fibrin mesh formed could cut red blood cells, resulting in the formation of schistocytes"
HM00005,pathology,schistocytosis,pmid:29956069,Infusions of thrombin induce DIC accompanied with hemolysis and schistocytosis.
HM00006,biological process,fibrin deposition,pmid:29956069,"Fibrin deposition in the blood vessels as a result of DIC might contribute to red blood cell fragmentation and, in turn, hemolysis "
HM00007,pathology,Impaired microcirculation,pmid:29956069,"Usually present as decreased microvascular blood flow, damage to endothelial cells and high vascular permeability."
HM00008,pathology,renal stasis,pmid:29956069, Renal stasis causes hemolysis 
HM00009,pathology,microvascular stasis,pmid:29956069,Hemopexin prevents from hepatic microvascular stasis
HM00010,chemical role,cytolysin,pmid:29956069,Some pathogens are capable of causing hemolysis by cytolytic toxins
HM00011,biological process,Weibel Palade body degranulation,pmid:25307023,"Inhibiting NADPH oxidase, its upstream activator protein kinase C or antioxidants inhibit haem-mediated stasis, Weibel Palade body degranulation and oxidant production by the endothelium."
HM00012,protein complex,Heme-hemopexin complex,pmid:25307023,Haemopexin transports haem away from the vessel wall to LRP1 on macrophages
HM00013,cellular component,ABO-incompatible erythrocytes,pmid:25307023,Incompatibility of transfused RBCs
HM00014,cellular component,stored erythrocytes,pmid:25307023,Red blood cells that have been separated for blood transfusion
HM00015,biological process,Fibrin monomer cross-linking,pmid:25307023,Factor XIII stabilizes clots by catalysing fibrin monomer cross-linking
HM00016,pathology,vaso-occlusive crisis,pmid:24904419,Common painful complication of sickle cell anemia in adolescents and adults
HM00017,biological process,Platelet margination,pmid:28458720,"RBCs preferentially move down the center of blood vessel, causing margination of platelets"
HM00018,biological process,macrophage M1 polarization,pmid:26675351,NAC was able to prevent iron-induced M1 polarization
HM00019,biological process,shear stress,pmid:28458720,When RBCs are damaged by high shear in continuous flow ventricular assist devices
HM00020,biological process,erythrocyte-platelet adhesion,pmid:28458720,The RBC-platelet adhesive interaction may be important in pathological conditions associated with a high incidence of thrombosis
HM00021,biological process,erythrocyte-endothelium adhesion,pmid:28458720,RBCs do not interact with endothelium but they become highly sticky under certain pathological conditions
HM00022,biological process,permeability of fibrin,pmid:28458720,RBCs increases the lytic resistance and decreases the permeability of fibrin
HM00023,?,Labile iron,pmid:30281034,"Transferrin (Tf) saturation and, finally, accumulation of labile plasma iron (LPI)"
HM00024,biological process,"Blood Transfusion, Acute",pmid:30281034,"Following acute transfusion, the most common occurs during the processes of extravascular hemolysis"
HM00025,biological process,"Blood Transfusion, Chronic",pmid:30281034,"Conversely, chronic transfusions associated with b-thalassemia major and sickle cell disease"
HM00026,biological process,oxidative reactions,pmid:30281034,Hpx-hemin complex prevents oxidative reactions
HM00027,pathology,Heme cytotoxicity,pmid:24904418,FtH protects different cell types from the cytotoxic effects  of heme
